DEBUG 2022-12-10 12:28:17,755 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [MortgageAPInterCompany]
DEBUG 2022-12-10 12:28:18,082 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorDocumentType]
DEBUG 2022-12-10 12:28:18,640 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [UtilityTransDetail]
DEBUG 2022-12-10 12:28:19,192 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [FSSWORKPLANITEM]
DEBUG 2022-12-10 12:28:19,530 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AuditTableEntry]
DEBUG 2022-12-10 12:28:20,067 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SHCrGiverTeamShiftTemplate]
DEBUG 2022-12-10 12:28:20,614 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CorpCamRule]
DEBUG 2022-12-10 12:28:20,957 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [LegalAction]
DEBUG 2022-12-10 12:28:21,308 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [FFEFTScreenSetup]
DEBUG 2022-12-10 12:28:21,631 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ETLRoleMap]
DEBUG 2022-12-10 12:28:21,989 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [APBXMASTERGENERAL]
DEBUG 2022-12-10 12:28:22,526 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [UtilityPropUtil_DWR]
DEBUG 2022-12-10 12:28:22,882 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [unit_status]
DEBUG 2022-12-10 12:28:23,240 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ApbLeaseSCAcct]
DEBUG 2022-12-10 12:28:23,771 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SFHProspectHistory]
DEBUG 2022-12-10 12:28:24,128 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8JPEIDQual]
DEBUG 2022-12-10 12:28:24,528 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [H8HOMEOWNERSHIP]
DEBUG 2022-12-10 12:28:24,864 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [NCREIFAttributeMapping]
DEBUG 2022-12-10 12:28:25,207 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [itf_CollectionsStatus]
DEBUG 2022-12-10 12:28:25,738 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [LOBOS_User]
DEBUG 2022-12-10 12:28:26,052 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [S_RECURPAYINV]
DEBUG 2022-12-10 12:28:26,422 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [tenant_history_audit]
DEBUG 2022-12-10 12:28:26,758 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CommonBankXRefs_BT]
DEBUG 2022-12-10 12:28:27,095 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CommMLA]
DEBUG 2022-12-10 12:28:27,432 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CND_PROP_RENTINC]
DEBUG 2022-12-10 12:28:27,785 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorIncidentWorkflowConfiguration]
DEBUG 2022-12-10 12:28:28,140 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [CHARGEBACK]
DEBUG 2022-12-10 12:28:28,710 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [PREMPLOYEE]
DEBUG 2022-12-10 12:28:29,051 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorEventTxtConfig]
DEBUG 2022-12-10 12:28:29,383 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorIncidentResidentSideRails]
DEBUG 2022-12-10 12:28:29,739 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [GLApTemplate]
DEBUG 2022-12-10 12:28:30,060 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [SeniorGPRProperty]
DEBUG 2022-12-10 12:28:30,409 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [ImportCommIcs]
DEBUG 2022-12-10 12:28:30,958 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [DCFJournalResOccupXRef]
DEBUG 2022-12-10 12:28:31,376 (C:\Users\Administrator\repos\Convert-SQL-Server-to-SQLite\DbAccess\SqlServerToSQLite.cs:842) - parsed table schema for [AttributeXrefHistory]
